"DATE","TIME","NH4","CI_up","CI_low"
2014-06-22,1014,0.0875377305899809,0.124674397225056,0.0508187089185473
2014-06-23,1015,0.0872325489203995,0.124887721455227,0.0502261406261176
2014-06-24,1016,0.0870180277412259,0.125304381447784,0.0496246254905091
2014-06-25,1017,0.0868935073513648,0.125920706046851,0.0490091099843729
2014-06-26,1018,0.0868581270626204,0.126732282569634,0.048374706219064
2014-06-27,1019,0.0869108251313228,0.127734052745126,0.0477168176775284
2014-06-28,1020,0.0870503391706789,0.128920418767628,0.0470312447205761
2014-06-29,1021,0.087275207085864,0.130285354568766,0.0463142675321928
2014-06-30,1022,0.0875837685709588,0.131822516887519,0.0455627056546077
2014-07-01,1023,0.0879741672030301,0.133525350626927,0.0447739545022703
2014-07-02,1024,0.0884443531639993,0.135387183312871,0.043946000172389
2014-07-03,1025,0.0889920866155001,0.137401304147025,0.0430774144873426
2014-07-04,1026,0.0896149417457741,0.139561024076743,0.0421673325575681
2014-07-05,1027,0.0903103115009145,0.141859714388336,0.0412154153161375
2014-07-06,1028,0.0910754130055254,0.144290822479263,0.0402217995293773
2014-07-07,1029,0.0919072936703013,0.146847864614661,0.0391870378050858
2014-07-08,1030,0.0928028379762427,0.149524396584659,0.0381120311571152
2014-07-09,1031,0.0937587749174121,0.152313964231618,0.0369979567762256
2014-07-10,1032,0.0947716860764201,0.155210036803957,0.0358461938135036
2014-07-11,1033,0.095838014299407,0.15820592701318,0.0346582501952194
2014-07-12,1034,0.0969540729302812,0.161294702517751,0.0334356937312259
2014-07-13,1035,0.0981160555575618,0.164469094318876,0.0321800910154759
2014-07-14,1036,0.0993200462214703,0.167721408205993,0.0308929578024594
2014-07-15,1037,0.100562030024053,0.171043445900309,0.0295757246301623
2014-07-16,1038,0.101837904081191,0.174426442869851,0.0282297214022856
2014-07-17,1039,0.103143488752459,0.177861029877913,0.0268561843970104
2014-07-18,1040,0.104474539082937,0.181337225121017,0.0254562886982993
2014-07-19,1041,0.105826756390377,0.184844463250962,0.0240312083151612
2014-07-20,1042,0.10719579993148,0.188371666594449,0.0225822052357407
2014-07-21,1043,0.108577298582501,0.191907362420803,0.0211107473328235
2014-07-22,1044,0.109966862471896,0.195439848108041,0.0196186533788012
2014-07-23,1045,0.111360094506171,0.198957403480567,0.0181082614373057
2014-07-24,1046,0.112752601734442,0.20244854642957,0.0165826145937548
2014-07-25,1047,0.114140006502299,0.205902324221899,0.0150456554229302
2014-07-26,1048,0.115517957351324,0.209308628773075,0.0135024178788027
2014-07-27,1049,0.116882139626857,0.212658519827081,0.0119592026154928
